-------------------------------------------------------------------------------------------------------------------------------------------------------------------
| News#  | Title Content                                                                                        | Match Words                 | Score | Polarity  |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 1      | ADVANCED MAGNETICS IN AGREEMENT                                                                      | agreement, advanced         | 2     | positive  |
| 2      | HEALTH RESEARCH FILES FOR BANKRUPTCY                                                                 | bankruptcy                  | -1    | negative  |
| 3      | NUMEREX CORP 2ND QTR JAN 31 LOSS                                                                     | loss                        | -1    | negative  |
| 4      | U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS             |                             | 0     | neutral   |
| 5      | U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT                 | awarded                     | 1     | positive  |
| 6      | COMMODORE ATARI IN SETTLEMENT                                                                        |                             | 0     | neutral   |
| 7      | BALDRIGE SUPPORTS NIC TALKS ON CURRENCIES                                                            | supports                    | 1     | positive  |
| 8      | TRIANGLE BEGINS EXCHANGE OFFER                                                                       |                             | 0     | neutral   |
| 9      | SOUTHMARK UNIT IN PUBLIC OFFERING OF STOCK                                                           |                             | 0     | neutral   |
| 10     | EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC                             |                             | 0     | neutral   |
| 11     | FEUD PERSISTS AT U.S. HOUSE BUDGET COMMITTTEE                                                        |                             | 0     | neutral   |
| 12     | TREASURY BALANCES AT FED ROSE ON MARCH 23                                                            |                             | 0     | neutral   |
| 13     | FARM CREDIT SYSTEM SEEN NEEDING 800 MLN DLRS AID                                                     |                             | 0     | neutral   |
| 14     | USX USS UNIT RAISES PRICES                                                                           |                             | 0     | neutral   |
| 15     | UNIONIST URGES RETALIATION AGAINST JAPAN                                                             |                             | 0     | neutral   |
| 16     | EXXON (XON) GETS 99.2 MLN DLR CONTRACT                                                               |                             | 0     | neutral   |
| 17     | EATON (ETN) GETS 53.0 MLN DLR CONTRACT                                                               |                             | 0     | neutral   |
| 18     | ZAIRE AUTHORIZED TO BUY PL 480 RICE - USDA                                                           |                             | 0     | neutral   |
| 19     | MCDONNELL DOUGLAS GETS 30.6 MLN DLR CONTRACT                                                         |                             | 0     | neutral   |
| 20     | MIDIVEST ACQUIRES ASSETS OF BUSINESS AVIATION                                                        | acquires                    | 1     | positive  |
| 21     | U.S. WHEAT CREDITS FOR JORDAN SWITCHED                                                               |                             | 0     | neutral   |
| 22     | DOLLAR EXPECTED TO FALL DESPITE INTERVENTION                                                         | fall                        | -1    | negative  |
| 23     | U.S. TO SELL 12.8 BILLION DLRS IN BILLS                                                              |                             | 0     | neutral   |
| 24     | INLAND STEEL TO BUILD NEW PLANT IN INDIANA                                                           |                             | 0     | neutral   |
| 25     | EASTMAN KODAK TO SELL HOLDINGS                                                                       |                             | 0     | neutral   |
| 26     | GUINNESS SUES BOESKY IN FEDERAL COURT                                                                | sues                        | -1    | negative  |
| 27     | FIRM REDUCES SCEPTRE RESOURCES HOLDINGS                                                              |                             | 0     | neutral   |
| 28     | GENCORP BOARD WITHDRAWS PROPOSALS TO STAGGER DIRECTORS TERMS                                         |                             | 0     | neutral   |
| 29     | LTD> 1ST QTR FEB 28 NET                                                                              |                             | 0     | neutral   |
| 30     | BULL AND BEAR GROUP A CUTS FUND PAYOUTS                                                              |                             | 0     | neutral   |
